source,target,ligand_complex,receptor_complex,lr_means,cellphone_pvals,expr_prod,scaled_weight,lr_logfc,spec_weight,lrscore,specificity_rank,magnitude_rank
Cancer Epithelial,B-cells,MIF,CD74_CXCR4,2.3886042,0.0,5.703758,1.1317655265361304,1.851422720460784,0.070855476,0.96174854,0.03496376262719934,0.0001281479430799274
Cancer Epithelial,T-cells,MIF,CD74_CXCR4,2.221271,0.0,4.890692,0.3621639015844246,-0.1056164804046229,0.017975112,0.958817,1.0,0.0003179370084506667
Normal Epithelial,B-cells,MIF,CD74_CXCR4,2.1865625,0.0,4.755084,0.9514955193581696,1.3557265914591008,0.05907048,0.9582583,0.09597540784822821,0.0003458153077487021
Endothelial,B-cells,HMGB1,CXCR4,2.1476502,0.0,4.572373,0.8124520878491329,1.195002189671386,0.04733283,0.95746756,0.09597540784822821,0.0004206124315991079
Cancer Epithelial,B-cells,HMGB1,CXCR4,2.142846,0.0,4.5498147,0.8075557815025087,1.2257083240141649,0.04709931,0.95736676,0.09597540784822821,0.0004284926968171416
PVL,B-cells,HMGB1,CXCR4,2.1419396,0.0,4.5455594,0.8066323797251036,1.2319775107614506,0.04705526,0.95734763,0.09597540784822821,0.0004364457538905932
Endothelial,T-cells,HMGB1,CXCR4,2.1394782,0.0,4.540541,0.8057930091831899,1.4009465755059471,0.047003314,0.9573251,0.09597540784822821,0.00044447159336598666
Cancer Epithelial,T-cells,HMGB1,CXCR4,2.134674,0.0,4.518141,0.8008967028365657,1.431652709848726,0.04677142,0.95722395,0.09597540784822821,0.0004607415817086929
PVL,T-cells,HMGB1,CXCR4,2.1337676,0.0,4.5139146,0.7999733010591605,1.4379218965960117,0.046727676,0.95720476,0.09597540784822821,0.0004689857718830182
Normal Epithelial,B-cells,HMGB1,CXCR4,2.0831816,0.0,4.269664,0.7467498542159147,1.0207974882951414,0.04419921,0.95605075,0.10336073886513909,0.0006107789013192631
Normal Epithelial,T-cells,HMGB1,CXCR4,2.0750096,0.0,4.2399397,0.7400907755499716,1.2267418741297025,0.04389151,0.95590377,0.1051552407832547,0.0007293215602899507
CAFs,B-cells,HMGB1,CXCR4,2.0270865,0.0,4.006273,0.6895824351299988,1.0373658292781651,0.041472606,0.9546935,0.12312815916246396,0.0009618756003449328
Normal Epithelial,T-cells,MIF,CD74_CXCR4,2.01923,0.0,4.077251,0.18189389440646375,-0.6013126094063062,0.014985412,0.95507175,1.0,0.0010341783667372957
CAFs,T-cells,HMGB1,CXCR4,2.0189145,0.0,3.9783823,0.6829233564640558,1.2433102151127262,0.04118389,0.95454216,0.12563180197060492,0.0010713048242267454
B-cells,B-cells,HMGB1,CXCR4,1.9809644,0.0,3.7897086,0.6425769918343597,1.0923470035244183,0.039230753,0.95347637,0.14373447755147833,0.0014202585494421795
B-cells,T-cells,HMGB1,CXCR4,1.9727924,0.0,3.763326,0.6359179131684166,1.2982913893589794,0.03895764,0.95332116,0.14697487843076515,0.0014636553981841722
CAFs,B-cells,CXCL12,CXCR4,1.9716693,0.0,3.746064,1.4601553813579744,2.344821358903048,0.20419906,0.9532187,0.0031399267848094222,0.0015076997612257985
T-cells,Endothelial,CCL5,ACKR1,1.970645,0.0,3.8833413,1.8406553210452499,4.1582725317621305,0.5577337,0.9540147,2.224194863021254e-06,0.00153742201324586
CAFs,T-cells,CXCL12,CXCR4,1.9634973,0.0,3.7199852,1.4534963026920313,2.5507657447376095,0.20277749,0.9530628,0.0017730482948424239,0.0016437134573222944
T-cells,B-cells,HMGB1,CXCR4,1.94624,0.0,3.6266623,0.6071885571202126,1.0725754257552316,0.03754291,0.9524912,0.16447361512279793,0.0018178509181398595
T-cells,T-cells,HMGB1,CXCR4,1.9380679,0.0,3.6014144,0.6005294784542695,1.2785198115897927,0.037281547,0.9523329,0.16758280477304763,0.0019164928509223873
Myeloid,B-cells,HMGB1,CXCR4,1.8987083,0.0,3.40348,0.5587469020496525,0.8404065978857065,0.035232548,0.95103335,0.19449459196519225,0.002209978322658781
Myeloid,T-cells,HMGB1,CXCR4,1.8905363,0.0,3.3797863,0.5520878233837094,1.0463509837202676,0.03498727,0.9508704,0.19791184832466932,0.00226391603849986
CAFs,B-cells,MIF,CD74_CXCR4,1.8172648,0.0,3.0210664,0.6219911381041168,0.9190613903795384,0.037529483,0.9481823,0.16484816348274656,0.003388524055480957
Endothelial,B-cells,MIF,CD74_CXCR4,1.8149741,0.0,3.0103104,0.6199466679284172,0.8674470488688792,0.03739587,0.9480946,0.1661641223391562,0.0034328123714330383
CAFs,B-cells,CXCL14,CXCR4,1.8032973,0.0,2.9554822,1.2827445305091247,2.606220841869865,0.21596886,0.9476404,0.0025095492601394653,0.003681466524536203
CAFs,T-cells,CXCL14,CXCR4,1.7951252,0.0,2.9349072,1.2760854518431817,2.8121652277044262,0.21446536,0.94746685,0.0026601533069707125,0.003797324353494126
Plasmablasts,B-cells,MIF,CD74_CXCR4,1.7681398,0.0,2.790403,0.5781590256428085,0.7659344414601592,0.034664046,0.946196,0.2038902278283128,0.004478784397585629
Myeloid,B-cells,MIF,CD74_CXCR4,1.7663262,0.0,2.7818866,0.5765408013957426,0.7626546446818288,0.034558248,0.9461182,0.20532286766278857,0.004555079937192531
PVL,B-cells,MIF,CD74_CXCR4,1.7356777,0.0,2.6379783,0.549194940510816,0.8005352368470406,0.032770537,0.94474816,0.23991049326699243,0.005133939626849923
T-cells,B-cells,MIF,CD74_CXCR4,1.7245681,0.0,2.5858142,0.539282554597717,0.8225356714380028,0.032122523,0.94422454,0.2537348828743639,0.005408305857421393
Cancer Epithelial,Myeloid,MIF,CD74_CXCR4,1.6779603,0.0,2.2507603,0.5527056731826727,0.6497930875789117,0.027960284,0.9404557,0.35410440797234555,0.006514804330089368
CAFs,T-cells,MIF,CD74_CXCR4,1.6499319,1.0,2.590416,-0.14761048684758904,-1.0379778104858686,0.009520742,0.9442713,1.0,0.006979356301409258
Endothelial,T-cells,MIF,CD74_CXCR4,1.6476412,1.0,2.5811934,-0.14965495702328863,-1.0895921519965277,0.009486845,0.94417745,1.0,0.0070424823884765305
Plasmablasts,B-cells,HMGB1,CXCR4,1.6376152,0.0,2.1775317,0.29265853679932546,0.480651044498814,0.02254163,0.9395228,0.5748809854698244,0.0073622853617013664
Plasmablasts,T-cells,HMGB1,CXCR4,1.6294432,0.0,2.1623724,0.2859994581333824,0.6865954303333751,0.022384701,0.939324,0.581606775279765,0.007623135744306632
Plasmablasts,T-cells,MIF,CD74_CXCR4,1.600807,1.0,2.3926334,-0.1914425993088973,-1.1911047594052477,0.008793817,0.94214433,1.0,0.00822629956572759
Myeloid,T-cells,MIF,CD74_CXCR4,1.5989933,1.0,2.385331,-0.1930608235559632,-1.1943845561835782,0.008766978,0.94206095,1.0,0.008294704740569434
Cancer Epithelial,B-cells,TFF3,CXCR4,1.580601,0.0,1.9098245,1.2661775464374567,1.9095076315485353,0.22689715,0.93568677,0.0019780347387064307,0.008958367047077913
Cancer Epithelial,B-cells,ZG16B,CXCR4,1.5757618,0.0,1.8871025,1.3837717876626972,1.7969811951893955,0.21775392,0.93532574,0.0024321365135412387,0.009065437204294676
Cancer Epithelial,T-cells,TFF3,CXCR4,1.572429,0.0,1.896529,1.2595184677715137,2.115452017383096,0.22531757,0.93547624,0.0020609007152487934,0.009137164098229768
PVL,T-cells,MIF,CD74_CXCR4,1.5683448,1.0,2.261937,-0.22040668444088984,-1.1565039640183663,0.008313458,0.94059426,1.0,0.00935399768236184
Cancer Epithelial,T-cells,ZG16B,CXCR4,1.5675898,0.0,1.8739651,1.377112708996754,2.002925581023957,0.21623799,0.9351141,0.0024835679055012745,0.009390378875518812
CAFs,PVL,CXCL12,ITGB1,1.5639687,0.0,2.444996,1.2111127820301442,1.9368932512631405,0.123642564,0.94273156,0.018182109081015918,0.009536591354736244
B-cells,B-cells,MIF,CD74_CXCR4,1.5637214,0.0,1.8305676,0.3957673521522939,0.5320008195512196,0.0227404,0.93439966,0.5630159358550979,0.00957331741714385
T-cells,T-cells,MIF,CD74_CXCR4,1.5572352,1.0,2.2172086,-0.2303190703539888,-1.1345035294274042,0.008149066,0.9400338,1.0,0.009795117007741811
Myeloid,B-cells,TGFB1,CXCR4,1.4774288,0.0,1.4253851,0.9254938477802436,1.310500337249686,0.08344468,0.92630243,0.09597540784822821,0.013031324110629024
Normal Epithelial,Myeloid,MIF,CD74_CXCR4,1.4759189,0.0,1.8764039,0.37243566600471195,0.1540969585772285,0.023309806,0.93515354,0.533704275645783,0.013116903866313506
CAFs,CAFs,CXCL12,ITGB1,1.4717045,0.0,2.1505601,1.11000780629101,1.757121168343021,0.10875304,0.93916774,0.0407316736502684,0.013375282287597656
Myeloid,T-cells,TGFB1,CXCR4,1.4692568,0.0,1.415462,0.9188347691143005,1.516444723084247,0.08286376,0.9260636,0.09597540784822821,0.01359246859129375
Normal Epithelial,B-cells,CXCL14,CXCR4,1.4714086,0.0,1.3971177,0.8810463911350002,1.6026900784533082,0.10209296,0.9256158,0.0715202032081802,0.013767441168433663
Normal Epithelial,T-cells,CXCL14,CXCR4,1.4632366,0.0,1.3873914,0.8743873124690571,1.8086344642878696,0.10138222,0.9253749,0.07420056844006337,0.01403193996694076
Endothelial,B-cells,CXCL12,CXCR4,1.4612398,0.0,1.3493707,0.8249148436501008,1.3863534686746535,0.0735546,0.9244098,0.09597540784822821,0.015206319249478427
Endothelial,T-cells,CXCL12,CXCR4,1.4530678,0.0,1.3399769,0.8182557649841578,1.5922978545092148,0.073042534,0.92416537,0.09597540784822821,0.015716948943660772
Endothelial,Myeloid,HMGB1,CXCR4,1.4370065,0.0,1.8043042,0.23339223449567525,-0.00662744321048625,0.018678011,0.9339553,0.9212313280293429,0.016378663927338437
Cancer Epithelial,Myeloid,HMGB1,CXCR4,1.4322023,0.0,1.7954026,0.22849592814905106,0.02407869113229255,0.01858586,0.93380266,0.8491887872899326,0.016570153298664198
PVL,Myeloid,HMGB1,CXCR4,1.431296,0.0,1.7937233,0.227572526371646,0.030347877879578267,0.018568479,0.9337737,0.8507921643038554,0.016666300928595626
T-cells,Normal Epithelial,CCL5,SDC4,1.4242613,0.0,1.7189573,1.48727992200774,2.6111082798712815,0.28736803,0.93244505,0.0004974812133460954,0.017102305759035034
B-cells,T-cells,MIF,CD74_CXCR4,1.3963885,1.0,1.5696218,-0.37383427279941195,-1.4250383813141874,0.0057689436,0.92952573,1.0,0.019312204946582357
Myeloid,Endothelial,CXCL10,ACKR1,1.3940376,0.0,1.6222972,1.4314799367926814,3.5648994710896305,0.45006844,0.9305993,2.0473726884781104e-05,0.01962360360394945
CAFs,Endothelial,CXCL12,ITGB1,1.3835955,0.0,1.8693836,1.0134547301802326,1.5327545145582542,0.09453405,0.9350398,0.07916182616556108,0.020785955998021837
Normal Epithelial,Myeloid,HMGB1,CXCR4,1.3725379,0.0,1.6848522,0.16769000086245694,-0.18083214458673091,0.017441453,0.93181115,1.0,0.022311918301514515
CAFs,Myeloid,HMGB1,CXCR4,1.3164428,0.0,1.5809155,0.11052258177654115,-0.16426380360370718,0.016365508,0.9297602,1.0,0.027690858236756433
T-cells,B-cells,TGFB1,CXCR4,1.4024042,0.0,1.0731113,0.8001928535382841,1.3363858236464905,0.06282192,0.91600704,0.09597540784822821,0.028808301692019755
T-cells,T-cells,TGFB1,CXCR4,1.3942322,0.0,1.0656406,0.793533774872341,1.5423302094810516,0.06238457,0.91573787,0.09597540784822821,0.029311736414899675
T-cells,Cancer Epithelial,CCL5,SDC4,1.3020887,0.0,1.2349964,1.2542789543179846,2.3933809097588323,0.2064615,0.9212566,0.003167472361319454,0.02981934889932826
PVL,B-cells,CXCL12,CXCR4,1.3917503,0.0,1.0230868,0.7384335747762526,1.1122416086841551,0.05576876,0.91415226,0.09597540784822821,0.0329523897449631
PVL,T-cells,CXCL12,CXCR4,1.3835783,0.0,1.0159644,0.7317744961103095,1.3181859945187162,0.05538052,0.9138777,0.09597540784822821,0.0334217677530813
Myeloid,Endothelial,CXCL9,ACKR1,1.2709386,0.0,1.1395906,1.334987936442759,2.947676939137325,0.38553518,0.91829056,8.253321977006546e-05,0.034780287983945564
B-cells,Myeloid,HMGB1,CXCR4,1.2703207,0.0,1.4954572,0.06351713848090204,-0.10928262935745403,0.01548085,0.9279238,1.0,0.034986293873509516
CAFs,Myeloid,CXCL12,CXCR4,1.2610255,0.0,1.4782345,0.8810955280045166,1.1431917260211761,0.080579005,0.9275355,0.09597540784822821,0.03637445180006503
Endothelial,B-cells,TGFB1,CXCR4,1.3817723,0.0,0.97623515,0.7657346610871403,1.1483819319678132,0.057150614,0.9122949,0.09597540784822821,0.037361445759494724
Cancer Epithelial,Plasmablasts,MIF,CD74_CXCR4,1.4152815,0.0,0.97441125,0.3386643698864823,-0.00837107748478294,0.012104716,0.9122201,1.0,0.03750347322316726
Endothelial,T-cells,TGFB1,CXCR4,1.3736002,0.0,0.9694389,0.7590755824211972,1.3543263178023743,0.05675275,0.9120151,0.09597540784822821,0.03828918641499844
T-cells,Myeloid,HMGB1,CXCR4,1.2355963,0.001,1.4311173,0.02812870376675486,-0.12905420712664073,0.01481481,0.9264393,1.0,0.040471361093545016
Normal Epithelial,B-cells,ZG16B,CXCR4,1.3746685,0.0,0.9428798,0.9413073666077674,1.3203513585398494,0.10879948,0.9108941,0.056779781807891505,0.041062962369688594
T-cells,Plasmablasts,CCL5,SDC1,1.2326527,0.0,0.95994014,1.1796728607783138,2.2966647719820865,0.19180514,0.9116192,0.004657546653769494,0.04121150107054685
CAFs,Normal Epithelial,CXCL12,SDC4,1.2317469,0.0,1.3847995,1.4176286643486193,1.9333452786289298,0.25026032,0.9253103,0.001112736338821689,0.0416586342420208
Normal Epithelial,T-cells,ZG16B,CXCR4,1.3664964,0.0,0.9363158,0.9346482879418243,1.5262957443744107,0.108042054,0.9106102,0.058297783303679,0.0418830629249358
Myeloid,Myeloid,HMGB1,CXCR4,1.1880647,0.49,1.3430475,-0.020312951303805227,-0.3612230349961658,0.013903118,0.92424554,1.0,0.0525698347537478
CAFs,Myeloid,CXCL12,CD4,1.1842252,0.0,1.2331465,1.589182120990405,1.995720152037807,0.3942198,0.9212022,0.00011977731658279679,0.05408092765908143
T-cells,Endothelial,CXCL13,ACKR1,1.198347,0.0,0.8549375,1.2812873039088908,3.3283316776411995,0.39432183,0.90683985,0.00013682897217740403,0.05518478377978561
T-cells,CAFs,CCL5,SDC1,1.2051187,0.0,0.8508698,1.1228051124418876,2.404958792317389,0.17001185,0.90663826,0.008137612237923642,0.05561212570213844
T-cells,Cancer Epithelial,CCL5,SDC1,1.2031318,0.0,0.84299934,1.1187017646088158,2.2219672996081656,0.16843927,0.9062442,0.008557207218983273,0.056903439030281944
T-cells,T-cells,CCL5,CXCR3,1.2031015,0.0,0.8428795,1.3336472997543403,2.5263190588857936,0.3686508,0.90623814,0.000109597017537453,0.05699002220692746
CAFs,Normal Epithelial,CXCL12,ITGB1,1.1730442,0.0,1.1974653,0.7827267690098615,1.127305097557402,0.060555384,0.9201299,0.09597540784822821,0.05768489908182976
Normal Epithelial,Plasmablasts,MIF,CD74_CXCR4,1.2132401,0.0,0.8123429,0.1583943627085215,-0.5040672064864662,0.010091406,0.9046586,1.0,0.06302193473398635
B-cells,B-cells,TGFB1,CXCR4,1.3452634,0.0,0.80480945,0.7047600798386336,1.1699481059285615,0.047115035,0.90425605,0.09597540784822821,0.064207341908055
B-cells,T-cells,TGFB1,CXCR4,1.3370913,0.0,0.7992067,0.6981010011726906,1.3758924917631226,0.04678704,0.9039532,0.09597540784822821,0.06540306293716337
Endothelial,Plasmablasts,HMGB1,CXCR4,1.1743276,0.813,0.7811291,0.019350931199484805,-0.6647916082741809,0.008086185,0.9029554,1.0,0.07000223537844275
Cancer Epithelial,Plasmablasts,HMGB1,CXCR4,1.1695235,0.886,0.7772754,0.014454624852860615,-0.6340854739314021,0.008046291,0.9027385,1.0,0.07105467127456014
PVL,Plasmablasts,HMGB1,CXCR4,1.1686171,0.907,0.7765484,0.01353122307545554,-0.6278162871841164,0.008038765,0.9026974,1.0,0.07134295743070433
CAFs,Cancer Epithelial,CXCL12,ITGB1,1.1234249,0.0,1.0391188,0.7283527797442089,1.0271384953755427,0.052547857,0.9147604,0.09597540784822821,0.07405981211664425
CAFs,Cancer Epithelial,CXCL12,SDC4,1.1095743,0.0,0.9949185,1.1846276966588642,1.7156179085164807,0.17980123,0.9130504,0.0063192682771143725,0.07993829976161944
Normal Epithelial,Plasmablasts,HMGB1,CXCR4,1.109859,1.0,0.72941536,-0.04635130243373348,-0.8389963096504256,0.0075508477,0.8999126,1.0,0.08085325119468133
CAFs,Myeloid,MIF,CD74_CXCR4,1.1066211,0.0,1.1921432,0.04293128475065913,-0.2825682425023339,0.014809512,0.91996604,1.0,0.08177300914624062
Endothelial,Myeloid,MIF,CD74_CXCR4,1.1043304,0.001,1.1878988,0.04088681457495956,-0.33418258401299306,0.014756786,0.9198347,1.0,0.08249169239549593
CAFs,Myeloid,CXCL14,CXCR4,1.0926535,0.0,1.166263,0.7036846771556671,1.4045912089879926,0.08522349,0.91915435,0.09597540784822821,0.0870754239056496
CAFs,Endothelial,CXCL12,ITGA5,1.0864112,0.0,0.9209995,1.3598981228460654,1.8500374790591694,0.28457004,0.9099366,0.0005405242796017105,0.09058794639715724
CAFs,B-cells,TGFB1,CXCR4,1.3227829,0.0,0.69925386,0.6672147801375782,1.0249857111613139,0.040935613,0.8979947,0.12863965920202822,0.09144906407444581
CAFs,T-cells,TGFB1,CXCR4,1.3146108,0.0,0.6943859,0.6605557014716351,1.230930096995875,0.040650632,0.89767426,0.13067468582738523,0.09220560583154912
CAFs,Myeloid,CXCL12,ITGB1,1.0811219,0.0,0.9041202,0.6819960084262282,0.9404021090647585,0.045721028,0.9091758,0.09597540784822821,0.09296500518649509
Normal Epithelial,B-cells,TFF3,CXCR4,1.3192959,0.0,0.6828805,0.7950132746174768,1.6524965447494748,0.08112978,0.89690435,0.09597540784822821,0.09559031547875144
Normal Epithelial,T-cells,TFF3,CXCR4,1.3111238,0.0,0.6781266,0.7883541959515338,1.858440930584036,0.08056498,0.89658093,0.09597540784822821,0.09603112656948781
CAFs,T-cells,CXCL12,ITGB1,1.0632999,0.0,0.8472459,0.6624660002156942,1.0989607975011682,0.042844914,0.9064574,0.1122865802253748,0.10116692397056462
Plasmablasts,Myeloid,MIF,CD74_CXCR4,1.0574962,0.285,1.1011211,-0.0009008277106491158,-0.4356951914217131,0.013678781,0.91699296,1.0,0.10275420104687068
Myeloid,Myeloid,MIF,CD74_CXCR4,1.0556824,0.34,1.0977603,-0.0025190519577150544,-0.43897498820004355,0.013637032,0.91687655,1.0,0.10378054187869255
CAFs,Plasmablasts,HMGB1,CXCR4,1.053764,1.0,0.68441844,-0.10351872151964929,-0.8224279686674019,0.0070850435,0.8970083,1.0,0.1049263686472207
Endothelial,PVL,CXCL12,ITGB1,1.0535392,0.0,0.88071275,0.5758722443222708,0.9784253610347458,0.04453732,0.908087,0.10100391624799536,0.10515622387347337
CAFs,Endothelial,CXCL9,ACKR1,1.1448331,0.0,0.6450941,1.1264294055866089,2.805964157892841,0.21824194,0.8942427,0.002398240658294748,0.10642449017664952
PVL,B-cells,TGFB1,CXCR4,1.3088044,0.0,0.6336186,0.6438688678012053,1.003893173194705,0.037093204,0.89339095,0.16967994747982815,0.11050583378289512
Myeloid,Endothelial,CCL5,ACKR1,1.1416876,0.0,0.6327598,0.9646787439093336,1.6772722479027722,0.09087831,0.89332634,0.09597540784822821,0.11097671634389307
PVL,T-cells,TGFB1,CXCR4,1.3006324,0.0,0.62920755,0.6372097891352623,1.209837559029266,0.036834974,0.8930578,0.174421555612011,0.11168472877521717
T-cells,Myeloid,CCL5,CCR1,1.1467204,0.0,0.6195376,1.4101043785928336,2.3202821773539504,0.47479302,0.892316,2.7665911722986133e-05,0.11537529092789148
PVL,Myeloid,MIF,CD74_CXCR4,1.025034,0.931,1.0409727,-0.029864912842641686,-0.40109439603483166,0.012931583,0.9148299,1.0,0.11863381701663334
T-cells,Myeloid,CCL5,CCRL2,1.142916,0.0,0.6044666,1.353839383376492,2.371948067008782,0.42485785,0.89112705,5.322917233077596e-05,0.12082890348116984
T-cells,Myeloid,MIF,CD74_CXCR4,1.0139244,0.987,1.0203882,-0.03977729875574064,-0.37909396144386953,0.01267587,0.91404855,1.0,0.12440358049741515
CAFs,T-cells,CXCL12,CXCR3,1.0105872,0.0,0.6790274,1.2639960420952197,1.8485560576434417,0.3210471,0.89664245,0.0003340007631856801,0.12589647613164362
B-cells,Plasmablasts,HMGB1,CXCR4,1.0076418,1.0,0.64742136,-0.1505241648152884,-0.7674467944211487,0.006702053,0.8944129,1.0,0.12802510140635268
CAFs,CAFs,CXCL12,ITGAV,1.0009487,0.0,0.64826876,1.0335648526081809,1.5756767974117376,0.13401674,0.8944746,0.023635457519497242,0.1318205383518375
